"time{s}","ModulatedVoltageSource\p_high.u{V}","Inertia\p2.omega{rad/s}"
0,0,0
0.02,0,0
0.06,0,0
0.14,0,0
0.3,0,0
0.62,0,0
0.78,0,0
0.86,0,0
0.9,0,0
0.98,0,0
0.99,0,0
0.995,0,0
0.9975,0,0
0.99875,0,0
0.999375,0,0
0.9996875,0,0
0.99984375,0,0
0.999921875,0,0
0.9999609375,0,0
0.99998046875,0,0
0.999990234375,0,0
0.9999951171875,0,0
0.99999755859375,0,0
0.999998779296875,0,0
0.999999389648438,0,0
0.999999694824219,0,0
0.999999847412109,0,0
0.999999923706055,0,0
0.999999961853027,0,0
0.999999980926514,0,0
0.999999990463257,0,0
0.999999995231629,0,0
0.999999997615814,0,0
0.999999998807907,0,0
0.999999999403954,0,0
0.999999999701977,0,0
0.999999999850988,0,0
0.999999999925494,0,0
0.999999999962747,0,0
0.999999999983283,0,0
0.999999999998529,0,0
1,24,1.94938381516475e-023
1,24,1.94938381516475e-023
1.00000000000466,24,3.66217410551443e-023
1.00000000001398,24,9.89250570528717e-023
1.00000000003261,24,1.22228390866029e-021
1.00000000006988,24,1.10795080813877e-020
1.00000000014441,24,9.30378361319799e-020
1.00000000029349,24,7.60341049107912e-019
1.00000000059163,24,6.14372132772984e-018
1.00000000118792,24,4.93864274843871e-017
1.00000000238049,24,3.96006892481234e-016
1.00000000476564,24,3.17138975279917e-015
1.00000000953594,24,2.5379563687852e-014
1.00000001430625,24,7.25700148857794e-014
1.00000002384685,24,3.33415493746936e-013
1.00000003235765,24,7.44493149695403e-013
1.00000004086844,24,1.40254922497873e-012
1.00000004937924,24,2.33854123400866e-012
1.00000006640083,24,4.97495019333196e-012
1.00000008342243,24,9.02725098767278e-012
1.00000010044402,24,1.49089581030921e-011
1.00000013448721,24,3.42916622235141e-011
1.0000001685304,24,6.57436382388883e-011
1.00000023661677,24,1.80234387952129e-010
1.00000030470315,24,3.79282369502747e-010
