"time{s}","ModulatedVoltageSource\p_high.u{V}","Inertia\p2.omega{rad/s}"
0,0,0
0.02,0,0
0.06,0,0
0.14,0,0
0.3,0,0
0.62,0,0
0.78,0,0
0.86,0,0
0.9,0,0
0.98,0,0
0.99,0,0
0.995,0,0
0.9975,0,0
0.99875,0,0
0.999375,0,0
0.9996875,0,0
0.99984375,0,0
0.999921875,0,0
0.9999609375,0,0
0.99998046875,0,0
0.999990234375,0,0
0.9999951171875,0,0
0.99999755859375,0,0
0.999998779296875,0,0
0.999999389648438,0,0
0.999999694824219,0,0
0.999999847412109,0,0
0.999999923706055,0,0
0.999999961853027,0,0
0.999999980926514,0,0
0.999999990463257,0,0
0.999999995231629,0,0
0.999999997615814,0,0
0.999999998807907,0,0
0.999999999403954,0,0
0.999999999701977,0,0
0.999999999850988,0,0
0.999999999925494,0,0
0.999999999962747,0,0
0.999999999982168,0,0
0.999999999996191,0,0
1,24,4.15308161642263e-023
1,24,4.15308161642263e-023
1.00000000000417,24,6.66879657361686e-023
1.0000000000125,24,1.48109401731248e-022
1.00000000002917,24,1.08510148856002e-021
1.0000000000625,24,8.61758462969858e-021
1.00000000012917,24,6.90725051201566e-020
1.0000000002625,24,5.53587402339891e-019
1.00000000052917,24,4.43336050117852e-018
1.00000000106251,24,3.54858432109333e-017
1.00000000212919,24,2.83952320595438e-016
1.00000000426254,24,2.27169043609759e-015
1.00000000852925,24,1.81707170233546e-014
1.00000001279597,24,5.1951081531833e-014
1.00000002132939,24,2.38658821672182e-013
1.00000002900947,24,5.37104628907836e-013
1.00000003668955,24,1.01493404114439e-012
1.00000004436963,24,1.69606570547543e-012
1.00000005972978,24,3.6196631155964e-012
1.00000007508994,24,6.57982430560819e-012
1.0000000904501,24,1.08807099629798e-011
1.00000012117042,24,2.50775570505349e-011
1.00000015189074,24,4.81369136581566e-011
1.00000021333137,24,1.32162354159007e-010
1.00000027477201,24,2.78349466537558e-010
